"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CNPY3",2.75576901012801e-07,0.289846788476504,0.142,0.369,0.00283816650353084
"ANKRA2",2.89979303526113e-07,-0.83764335933592,0.029,0.146,0.00298649684701544
"CEP95",2.9621120514034e-07,-0.578315672690354,0.029,0.146,0.00305067920174036
"FAM50B",3.01500057158197e-07,-0.887276483347726,0.02,0.127,0.00310514908867227
"DBI",3.09916981021611e-07,-0.621883760331012,0.454,0.754,0.00319183498754158
"C2orf69",3.10709408680569e-07,-0.490427389631799,0.029,0.146,0.00319999620000118
"GTF2H1",3.16438263861241e-07,0.368694678231156,0.038,0.165,0.00325899767950692
"GTF2A1",3.17370799337845e-07,-0.283093394973165,0.029,0.146,0.00326860186238047
"CNST",3.21263598261013e-07,-0.5192285604082,0.02,0.127,0.00330869379849018
"B9D2",3.24988885669288e-07,-0.581742710014527,0.02,0.127,0.003347060533508
"C9orf85",3.27622079770114e-07,-0.436191791265716,0.029,0.146,0.00337417979955241
"APOE",3.4078116934349e-07,-1.07550007895185,0.171,0.388,0.0035097052630686
"DIMT1",3.4178879754205e-07,0.288423495502557,0.029,0.146,0.00352008282588557
"ATE1",3.52498729636228e-07,-0.956387789404035,0.017,0.119,0.00363038441652351
"ACO2",3.52626945591172e-07,0.346536443714251,0.098,0.285,0.00363170491264348
"ABCC5",3.65325166523037e-07,-0.927705393118509,0.017,0.119,0.00376248389002075
"ARNT",3.67506240965846e-07,-1.63049357792109,0.017,0.119,0.00378494677570725
"ASXL2",3.68327826726944e-07,0.261717903601807,0.061,0.212,0.00379340828746079
"ALKBH4",3.78566379447109e-07,-0.793924688279334,0.026,0.138,0.00389885514192577
"HMGXB4",3.92566596845839e-07,0.25163366395679,0.081,0.25,0.00404304338091529
"C1RL",4.04014857043295e-07,-0.669762471331579,0.026,0.138,0.0041609490126889
"AP3B1",4.17583905199491e-07,-1.06472856248212,0.032,0.15,0.00430069663964956
"FAM193B",4.18563344353068e-07,-1.26023238149024,0.014,0.112,0.00431078388349225
"C14orf2",4.21491273010116e-07,-0.513674710790101,0.428,0.777,0.00434093862073119
"CAPN15",4.31110151039302e-07,-0.327130873349318,0.026,0.138,0.00444000344555377
"ANTXR2",4.34325677855128e-07,-0.753976314511566,0.014,0.112,0.00447312015622996
"C20orf196",4.42420072293783e-07,-0.549846414084333,0.014,0.112,0.00455648432455367
"DGCR14",4.53769832163801e-07,-1.43287783630652,0.012,0.104,0.00467337550145498
"ARHGEF26",4.56692955357961e-07,-1.61934255237986,0.012,0.104,0.00470348074723164
"DUSP22",4.65449448567223e-07,-0.478717416396555,0.038,0.162,0.00479366387079383
"CAD",4.90069994673562e-07,-0.986064060069926,0.012,0.104,0.00504723087514302
"GPX7",5.54290657476351e-07,-1.62113527129235,0.02,0.123,0.00570863948134894
"C2orf47",5.79483782976604e-07,-0.725582969829175,0.035,0.154,0.00596810348087604
"FAM160A2",5.85976560419953e-07,-0.615260140940568,0.029,0.142,0.0060349725957651
"ATP5C1",5.92739825659748e-07,-0.350815979471902,0.275,0.577,0.00610462746446975
"GPR180",6.24916224296991e-07,-0.375535345371379,0.02,0.123,0.00643601219403471
"FAR1",6.27217960817971e-07,-0.254260979046832,0.029,0.142,0.00645971777846428
"C7orf26",6.44574927819313e-07,0.274868105140885,0.055,0.196,0.0066384771816111
"DOPEY2",6.53650728693789e-07,-1.50253920147493,0.017,0.115,0.00673194885481733
"ASB6",6.54038626841176e-07,0.361749618329841,0.02,0.123,0.00673594381783727
"CNPPD1",6.66212723795116e-07,0.420575531065651,0.081,0.246,0.0068613248423659
"CALM1",6.69817508690097e-07,0.368486851384001,0.812,0.804,0.00689845052199931
"ATG4C",6.7721592731096e-07,-1.14501738930936,0.017,0.115,0.00697464683537558
"BRWD3",6.97476995344686e-07,-1.0060116191206,0.017,0.115,0.00718331557505492
"ACSL4",7.05743893473995e-07,-0.899755729616993,0.017,0.115,0.00726845635888867
"ANKFY1",7.09912666221767e-07,-1.53220126844643,0.017,0.115,0.00731139054941798
"CEP89",7.35427989916278e-07,-0.896103940810854,0.017,0.115,0.00757417286814774
"DHX16",7.44127749305467e-07,-0.461548046841204,0.017,0.115,0.007663771690097
"FAM160B2",7.5970291922852e-07,-0.492776365517366,0.026,0.135,0.00782418036513453
"ALDH16A1",7.67872986461723e-07,-0.282782381985976,0.026,0.135,0.00790832388756929
"CCDC84",7.74381630214911e-07,-0.810851854497361,0.032,0.146,0.00797535640958337
"GLTP",8.08561536308143e-07,0.277554080666158,0.139,0.354,0.00832737526243756
"COX15",8.17145419308798e-07,-1.72153376231298,0.014,0.108,0.00841578067346131
"ARAF",8.46151068276208e-07,0.672995914653504,0.081,0.246,0.00871450985217667
"HDAC6",8.47604796785451e-07,-1.04142357866363,0.014,0.108,0.00872948180209336
"CLN8",8.57160757590985e-07,-0.409243438342475,0.055,0.192,0.00882789864242956
"DBT",8.69434602230445e-07,-0.84570057268874,0.023,0.127,0.00895430696837135
"GTF2IRD2B",8.78996461777352e-07,-1.77069985765095,0.012,0.1,0.00905278455984495
"GIGYF1",8.93331104610954e-07,-0.592833549247411,0.038,0.158,0.00920041704638821
"CAPN7",8.98588138431667e-07,-0.722371703169428,0.023,0.127,0.00925455923770774
"GPATCH2L",9.17077033997365e-07,-0.414329725483948,0.064,0.208,0.00944497637313886
"C2orf49",9.24101778712723e-07,-0.342657992679772,0.038,0.158,0.00951732421896234
"CASP10",9.30790974711531e-07,-1.54417431430921,0.012,0.1,0.00958621624855406
"CDK9",9.4810402862107e-07,0.262685036233499,0.061,0.204,0.0097645233907684
"CYP20A1",9.71218818877681e-07,0.551056675283178,0.098,0.277,0.0100025826156212
"FAM118B",9.79287098734787e-07,-0.7374144645068,0.012,0.1,0.0100856778298696
"GBP5",9.90234509423451e-07,4.73395131837125,0.113,0.012,0.0101984252125521
"BEX4",1.03461931831327e-06,-0.676468423008762,0.075,0.227,0.0106555443593084
"ARMC6",1.06558068283403e-06,-0.541831627675287,0.029,0.138,0.0109744154525077
"DYRK1B",1.10538978290931e-06,-1.08801208952789,0.02,0.119,0.011384409374183
"COG4",1.11634183502881e-06,-0.314409628243971,0.029,0.138,0.0114972045589617
"CEP164",1.14988932312179e-06,0.381525348150294,0.055,0.192,0.0118427101388313
"ARRDC2",1.15180641510425e-06,-0.634409016840711,0.035,0.15,0.0118624542691586
"COX7C",1.16759858374906e-06,-0.513350359795719,0.783,0.9,0.0120250978140315
"CYB5D2",1.16954843196472e-06,-0.897135033321251,0.02,0.119,0.0120451793008047
"CCNT1",1.21214000186096e-06,0.687761605733116,0.049,0.181,0.0124838298791661
"BRE",1.22183171814978e-06,0.55218362360695,0.081,0.242,0.0125836448652246
"GEM",1.23675693837848e-06,-1.50865336224162,0.017,0.112,0.0127373597083599
"DPF2",1.23789996234672e-06,0.25371926611716,0.058,0.196,0.0127491317122089
"DBP",1.36571159341214e-06,-0.762197277009997,0.017,0.112,0.0140654637005516
"EIF1",1.38870950189324e-06,0.251918691076392,0.994,0.954,0.0143023191599985
"C5orf28",1.40902275144054e-06,0.46425865278814,0.046,0.173,0.0145115253170861
"GLE1",1.44750782525525e-06,-0.948172398703348,0.017,0.112,0.0149078830923038
"FBXO22",1.44962241207629e-06,0.297200120492209,0.04,0.162,0.0149296612219737
"ALG6",1.47295170271665e-06,-0.373700174436821,0.017,0.112,0.0151699295862788
"HP",1.51416763265285e-06,-6.50574885566943,0.017,0.108,0.0155944124486917
"GTF3C5",1.55034562190373e-06,-0.493756059445005,0.058,0.192,0.0159670095599865
"CNOT6L",1.64343556553592e-06,3.0881109988562,0.28,0.154,0.0169257428894544
"CTU1",1.68813729722007e-06,-0.605022877322562,0.014,0.104,0.0173861260240695
"C12orf43",1.70859864417588e-06,-0.560915804694379,0.014,0.104,0.0175968574363674
"EHBP1",1.70859864417588e-06,-0.543314876129452,0.014,0.104,0.0175968574363674
"FNBP1",1.70877968977593e-06,2.1587058400772,0.344,0.219,0.0175987220250023
"BEST1",1.72508150848336e-06,-0.67198347269206,0.023,0.123,0.0177666144558701
"FOPNL",1.75358294813405e-06,0.397035858319949,0.066,0.212,0.0180601507828326
"CHM",1.82107571599054e-06,-0.361465303968302,0.023,0.123,0.0187552587989866
"ERBB2IP",1.90004301142305e-06,0.259825609171001,0.104,0.281,0.019568542974646
"ACD",1.93004834915249e-06,-0.704678355090734,0.035,0.146,0.0198775679479215
"FBL",1.9418675523097e-06,-0.328412409273187,0.257,0.542,0.0199992939212376
"CTCF",1.94486870898115e-06,0.518178393102323,0.049,0.177,0.0200302028337968
"FBXL15",1.96710898898151e-06,0.291349264770122,0.104,0.281,0.0202592554775206
"CSF1",2.29169151273042e-06,-0.486165772775824,0.02,0.115,0.0236021308896106
"EIF3J-AS1",2.30477259538217e-06,0.307582870772369,0.029,0.135,0.023736852959841
"FAM134C",2.34464268336705e-06,0.489975729171578,0.098,0.269,0.0241474749959973
"COG5",2.4091603866032e-06,0.272767452398591,0.02,0.115,0.0248119428216264
"DHRS12",2.44509844321158e-06,-0.256685884357551,0.04,0.158,0.025182068866636
"CMTM6",2.51386500052614e-06,0.610473741108276,0.156,0.381,0.0258902956404187
"BTG2",2.56279924994312e-06,2.12042486998646,0.399,0.304,0.0263942694751642
"DNAJC13",2.70796346466241e-06,-0.903295433755802,0.017,0.108,0.0278893157225582
"ABCB7",2.78672571091168e-06,-0.58677327086692,0.026,0.127,0.0287004880966794
"CLDND1",2.78844785711672e-06,-0.643702097669203,0.15,0.35,0.0287182244804451
"CNOT1",2.79468059697521e-06,0.691026635578024,0.078,0.231,0.0287824154682477
"ADAP1",2.84880913538239e-06,-0.505153567749911,0.032,0.138,0.0293398852853032
"EHMT1",2.95052357489681e-06,0.314604425463441,0.061,0.196,0.0303874422978622
"DERL2",2.97828831582153e-06,0.322347008169235,0.121,0.312,0.0306733913646459
"ERCC4",3.07913838294643e-06,-1.87391272637247,0.014,0.1,0.0317120462059653
"CC2D1B",3.21047359220977e-06,-1.12091925512858,0.014,0.1,0.0330646675261684
"HAUS1",3.23908251447436e-06,0.305875212311514,0.049,0.173,0.0333593108165714
"AMN1",3.25854166237608e-06,-1.10495265446291,0.023,0.119,0.0335597205808113
"ATRN",3.26839005804702e-06,-0.609108209448243,0.014,0.1,0.0336611492078263
"ANKMY2",3.27601299834691e-06,-0.947180126058033,0.023,0.119,0.0337396578699748
"GEMIN5",3.30755630721052e-06,-0.732676654972123,0.014,0.1,0.0340645224079611
"CDK7",3.36472585352735e-06,-0.769667943138553,0.023,0.119,0.0346533115654782
"GTF2H3",3.40744393680067e-06,-0.274493623444579,0.014,0.1,0.0350932651051101
"FAM65B",3.51318163874737e-06,4.22151461359014,0.124,0.023,0.0361822576974592
"CCDC115",3.59769063664076e-06,0.349628167798782,0.136,0.335,0.0370526158667632
"DAXX",3.687649248588e-06,0.867531095860746,0.081,0.235,0.0379790996112078
"FKBP15",3.75686894619343e-06,-0.664518961721325,0.035,0.142,0.0386919932768462
"FCER1G",3.76923278558769e-06,3.2206231764355,0.295,0.177,0.0388193284587676
"GTF3C3",3.8598702267777e-06,-1.35779383724592,0.02,0.112,0.0397528034655836
"CD5",3.94735928338777e-06,4.07632936775507,0.104,0.012,0.0406538532596106
"ALKBH5",4.02890319133029e-06,0.516657209718244,0.139,0.338,0.0414936739675106
"CEP63",4.04813832098177e-06,0.295552913516628,0.052,0.177,0.0416917765677913
"GTPBP3",4.06721561262495e-06,-0.797622967678809,0.02,0.112,0.0418882535944244
"FAM114A2",4.2036210963287e-06,-0.821670196390531,0.02,0.112,0.0432930936710893
"DXO",4.22463169900006e-06,0.475615978020936,0.029,0.131,0.0435094818680016
"AMMECR1",4.28848767522353e-06,0.324004491796185,0.029,0.131,0.0441671345671271
"B3GALT6",4.28848767522353e-06,0.516903265586584,0.029,0.131,0.0441671345671271
"GCDH",4.3761735481177e-06,0.642853599487811,0.035,0.142,0.0450702113720642
"EBLN3",4.39221497777574e-06,0.482436540755301,0.116,0.296,0.0452354220561123
"CDC123",4.64662195469907e-06,0.445979736308242,0.101,0.269,0.0478555595114457
"ANAPC15",4.65267920267077e-06,0.419591120734017,0.121,0.308,0.0479179431083062
"GSKIP",4.69791640003074e-06,0.434617038259613,0.066,0.204,0.0483838410039166
"ATAD2",4.69955342649434e-06,-0.87437556621024,0.026,0.123,0.0484007007394652
"DOK1",4.72379644067226e-06,-0.587645759302478,0.026,0.123,0.0486503795424836
"E2F4",4.92265811027374e-06,0.605692295889665,0.101,0.269,0.0506984558777093
"CIRBP",4.95757176985528e-06,0.725995364994964,0.711,0.788,0.0510580316577395
"FAM102A",4.9929728853999e-06,0.384648303177417,0.075,0.219,0.0514226277467335
"COIL",5.03717980190017e-06,0.581441237366077,0.081,0.231,0.0518779147797698
"CCDC86",5.04613210708219e-06,-0.982384342711706,0.017,0.104,0.0519701145708394
"CLCF1",5.1914131672839e-06,-1.03658075940443,0.017,0.104,0.0534663642098569
"DTD1",5.19640976437599e-06,0.435430861614947,0.104,0.273,0.0535178241633084
"HIST1H2BN",5.21153827838963e-06,-0.332764545733316,0.038,0.146,0.0536736327291348
"ARID5A",5.43494615469538e-06,3.7556606454269,0.246,0.127,0.0559745104472077
"DPH7",5.43682341010228e-06,0.420743967374242,0.049,0.169,0.0559938443006434
"CA11",5.463069823059e-06,-0.301126674816684,0.017,0.104,0.0562641561076846
"CCL3",5.92152691664503e-06,4.98181706583144,0.318,0.215,0.0609858057145272
"DAPP1",6.05754150614027e-06,-0.958671302584869,0.023,0.115,0.0623866199717386
"EXOC3-AS1",6.38524096517359e-06,-0.323885458969542,0.023,0.115,0.0657615967003228
"CBX6",6.50443065393015e-06,0.668890882256912,0.107,0.277,0.0669891313048266
"EXOC1",7.18351347042163e-06,-0.390420993438537,0.035,0.138,0.0739830052318724
"BAK1",7.23681441300056e-06,0.652097968756971,0.058,0.185,0.0745319516394928
"HERC2",7.54722518642586e-06,0.334735935396079,0.052,0.173,0.0777288721949999
"AC016831.7",7.60714193578009e-06,3.63426656442995,0.165,0.054,0.0783459547965992
"ANKRD54",7.83245387583061e-06,0.333885004181963,0.04,0.15,0.0806664424671795
"BCS1L",7.93176860918637e-06,-0.592076043681214,0.02,0.108,0.0816892849060104
"ARF1",8.12930824042768e-06,-0.407215740364659,0.41,0.723,0.0837237455681647
"APTX",8.20868578041954e-06,0.556225366681433,0.04,0.15,0.0845412548525409
"ELMOD2",8.3728227564013e-06,-0.391691287394782,0.02,0.108,0.086231701568177
"CPT1A",8.41819533753343e-06,0.337661101441047,0.02,0.108,0.0866989937812568
"ARIH2",8.61064231533655e-06,0.27453757531961,0.101,0.262,0.0886810052056511
"CENPT",8.83986649806822e-06,-0.475286085019664,0.038,0.142,0.0910417850636046
"ERN1",8.84329586243892e-06,0.651287869866307,0.055,0.177,0.0910771040872585
"CABIN1",8.91534801539951e-06,0.411898532969005,0.055,0.177,0.0918191692105995
"GSAP",9.04402481279152e-06,-0.40465216681069,0.038,0.142,0.0931444115469399
"COMMD2",9.48411122551788e-06,0.356818503902859,0.116,0.288,0.0976768615116087
"CSTF1",9.55094214626346e-06,0.385428407900271,0.055,0.177,0.0983651531643674
"BRD2",9.59270425231192e-06,-0.258342688166898,0.303,0.608,0.0987952610945605
"GSR",9.61667532901459e-06,-0.370646558037826,0.032,0.131,0.0990421392135212
"ATG4A",9.89615324010493e-06,-0.322706823448165,0.032,0.131,0.101920482219841
"ATP5B",9.98045391989076e-06,-0.358891170758909,0.373,0.685,0.102788694920955
"GDAP2",1.00722656511619e-05,0.308146238595039,0.026,0.119,0.103734263941317
"CDC37L1",1.01417851045072e-05,0.467245458151679,0.049,0.165,0.104450244791319
"C1D",1.03237293159297e-05,0.479918689420276,0.142,0.335,0.10632408822476
"AATF",1.04400982306148e-05,0.276131931113279,0.124,0.304,0.107522571677102
"CD44",1.0480288042715e-05,1.34945252114729,0.468,0.412,0.107936486551922
"GIMAP2",1.05280082488227e-05,3.25279031406692,0.168,0.058,0.108427956954625
"BLOC1S6",1.11533375350472e-05,0.444525714677186,0.064,0.192,0.114868223273451
"GLUD1",1.12247941773613e-05,0.286235667518221,0.133,0.315,0.115604155232644
"DNAJA3",1.13156884222957e-05,0.514578054920323,0.058,0.181,0.116540275061224
"DROSHA",1.1615276941838e-05,-0.982896481620361,0.023,0.112,0.11962573722399
"CWC25",1.16478793537249e-05,0.482426392410868,0.116,0.288,0.119961509464013
"CALR",1.28780567947086e-05,-0.389264262382363,0.451,0.762,0.132631106928704
"AEN",1.29490419999571e-05,0.309979836463273,0.023,0.112,0.133362183557558
"BPNT1",1.29490419999571e-05,0.395851599157587,0.023,0.112,0.133362183557558
"BOD1L1",1.36241056133571e-05,0.625789634141521,0.066,0.196,0.140314663711965
"ANKRD13D",1.40040941533062e-05,0.531663813586511,0.081,0.223,0.144228165684901
"AP006222.2",1.40451901395635e-05,0.4683413226006,0.04,0.146,0.144651413247365
"ANKS3",1.42201525377354e-05,0.618777649591408,0.029,0.123,0.146453350986137
"FARSA",1.45504065857387e-05,0.413076140127966,0.061,0.185,0.149854637426523
"AKAP11",1.50006553273204e-05,-1.2476599254518,0.026,0.115,0.154491749216073
"ATP6V1B2",1.50990591302281e-05,0.506743062971915,0.055,0.173,0.155505209982219
"HELQ",1.52076690164119e-05,-0.465238808920107,0.02,0.104,0.156623783200026
"CHRNB1",1.55353977130805e-05,-0.403261835964369,0.02,0.104,0.159999061047016
"DNPEP",1.57626840229837e-05,0.328390649800937,0.13,0.308,0.162339882752709
"ETS1",1.72382771686756e-05,3.10814649065971,0.188,0.077,0.17753701656019
"AC093323.3",1.88997717294031e-05,0.461925050410601,0.032,0.127,0.194648749041122
"COG8",1.90774467867752e-05,0.331622657739332,0.032,0.127,0.196478624456998
"GMPR2",1.93408639954801e-05,0.604208438573384,0.072,0.204,0.19919155828945
"AGO3",1.96679561241507e-05,0.877610961931387,0.064,0.188,0.202560280122628
"DNAJC9",1.99414906874352e-05,0.431353574023915,0.09,0.235,0.205377412589895
"GIMAP6",1.99915002393657e-05,2.54471009276086,0.127,0.031,0.205892460965228
"DCPS",2.01331009871936e-05,0.530104210813784,0.066,0.192,0.207350807067106
"CHST11",2.0198961496444e-05,4.41926485058984,0.113,0.023,0.208029104451877
"CLIC3",2.02654811519445e-05,1.2051905827722,0.327,0.2,0.208714190383877
"FAM208B",2.13960947961566e-05,0.38028663136261,0.046,0.154,0.220358380305617
"AAK1",2.14280182931839e-05,2.42626122813757,0.347,0.265,0.220687160401501
"ANKRD36C",2.15500870161741e-05,-1.73335329462398,0.081,0.212,0.221944346179577
"C19orf25",2.29654242102485e-05,0.71440523950555,0.107,0.265,0.236520903941349
"ELMSAN1",2.33426468427667e-05,0.811608511442306,0.09,0.235,0.240405919833654
"CCDC82",2.33855450770838e-05,0.335682259778875,0.055,0.169,0.240847728748886
"ANKH",2.37382670171181e-05,0.518937649242985,0.046,0.154,0.244480412009299
"ADAR",2.39046163297325e-05,0.291019068519976,0.217,0.465,0.246193643579915
"CREBBP",2.43306435309754e-05,0.459041228697958,0.092,0.238,0.250581297725515
"GPR183",2.44574845700423e-05,3.50305708584775,0.171,0.065,0.251887633586866
"BHLHE40",2.52934914480605e-05,0.571561531353993,0.176,0.392,0.260497668423576
"ADAM10",2.5769576270574e-05,0.401108388392705,0.087,0.227,0.265400866010642
"ACOT4",2.58357498514789e-05,0.401135305865776,0.029,0.119,0.266082387720381
"BICD1",2.58357498514789e-05,0.818736932777107,0.029,0.119,0.266082387720381
"EXOSC1",2.76360671657751e-05,0.390386002081107,0.121,0.288,0.284623855740318
"FBXO7",2.77689339481892e-05,0.488696440747789,0.191,0.415,0.285992250732401
"BMF",2.85220344520509e-05,-1.11750099083667,0.02,0.1,0.293748432821672
"CEP68",2.89744623427749e-05,-0.41617219869895,0.02,0.1,0.298407987668238
"HAUS2",3.05126973729254e-05,-0.403599165877207,0.026,0.112,0.314250270243759
"AC074117.10",3.10397558911772e-05,-0.311794149897963,0.026,0.112,0.319678445923234
"DOCK8",3.16285813741543e-05,3.67967622689993,0.139,0.042,0.325742759572415
"FBXO6",3.19431339216161e-05,0.528111665227415,0.084,0.219,0.328982336258724
"CXXC1",3.22879192640614e-05,-0.634187790454138,0.049,0.154,0.332533280500568
"BRD1",3.33979516075478e-05,0.382604032462863,0.026,0.112,0.343965503606135
"CDR2",3.43262282132451e-05,0.375603036210807,0.032,0.123,0.353525824368211
"GNB5",3.460497350335e-05,0.859828360222775,0.058,0.173,0.356396622111001
"DCP1A",3.5575061930216e-05,0.584509470002283,0.092,0.235,0.366387562819295
"EXOSC10",3.65211559789243e-05,0.339682019364739,0.046,0.15,0.376131385426941
"CSNK1G3",3.66181921466485e-05,0.904773001959215,0.052,0.162,0.377130760918333
"DTNBP1",3.94177769460906e-05,0.785107037886148,0.084,0.219,0.405963684767787
"ENTPD3-AS1",4.07949243048757e-05,-0.302748896915659,0.023,0.104,0.420146925415915
"BIRC2",4.10518028301445e-05,0.856087459716038,0.116,0.277,0.422792517347658
"HMGB2",4.14506403526478e-05,1.63110227188978,0.402,0.338,0.42690014499192
"CBWD5",4.2670449582774e-05,0.544624937868588,0.035,0.127,0.439462960252989
"EPC2",4.41949150402855e-05,0.619449114235145,0.023,0.104,0.455163429999901
"BRF1",4.43132083385905e-05,0.324732763408809,0.035,0.127,0.456381732679144
"BTN3A2",4.75595740862187e-05,2.92561700944687,0.263,0.162,0.489816053513966
"DDX52",4.75695116433974e-05,0.390588423124922,0.09,0.227,0.48991840041535
"F2R",4.78874560065213e-05,3.89256012508659,0.124,0.035,0.493192909411163
"C10orf54",4.86938782581035e-05,2.2588211150236,0.254,0.146,0.501498252180208
"GOLGA8A",4.96875091034855e-05,-1.12389822239333,0.026,0.108,0.511731656256797
"C17orf62",5.2555625051683e-05,0.814912727318441,0.136,0.312,0.541270382407283
"EDF1",5.31791000888101e-05,-0.382097773297946,0.668,0.865,0.547691551814655
"ANKRD44",5.33261413602824e-05,2.82353530635115,0.208,0.104,0.549205929869548
"GTF2E2",5.43913560845991e-05,0.510499515936919,0.075,0.2,0.560176576315286
"HNRNPDL",5.5414094368427e-05,0.913290072979413,0.592,0.673,0.570709757900429
"ALKBH3",5.72976148998969e-05,0.36482173117387,0.032,0.119,0.590108135854038
"FAM98B",5.83543134899033e-05,0.72313520026153,0.038,0.131,0.600991074632514
"GAK",5.95582974949103e-05,0.640647340156813,0.084,0.215,0.613390905900081
"C19orf53",6.02577087514885e-05,-0.319468068418884,0.419,0.758,0.62059414243158
"AGTRAP",6.06309614971915e-05,0.28959928823143,0.156,0.342,0.624438272459575
"E2F3",6.13939640382562e-05,0.34654434445092,0.026,0.108,0.632296435630001
"DDX39B",6.48041364326045e-05,-0.48083547956975,0.035,0.123,0.667417801119393
"CERK",6.5721002144998e-05,0.383213928349387,0.046,0.146,0.676860601091335
"AAED1",6.57544206457999e-05,0.623323372851931,0.087,0.219,0.677204778231093
"FXN",6.8212981424858e-05,0.427074911959441,0.055,0.162,0.702525495694613
"APEX2",6.98272340135113e-05,0.524856531596048,0.04,0.135,0.719150683105153
"ABT1",6.99930663362499e-05,0.724959707037808,0.133,0.304,0.720858590197038
"DMAP1",7.01560544478547e-05,0.333196057001071,0.072,0.192,0.722537204758455
"C19orf12",7.18930350168559e-05,0.570326483197544,0.04,0.135,0.740426367638599
"ADGRE5",7.42864614407961e-05,2.48439107241852,0.324,0.246,0.765076266378759
"ARMC7",7.43247125809734e-05,0.517150015692667,0.04,0.135,0.765470214871445
"CAMTA2",7.43691558104455e-05,-0.610642214622291,0.023,0.1,0.765927935691778
"CYP4V2",7.45574334220103e-05,0.440479744588186,0.035,0.123,0.767867006813285
"ATF6B",7.5105553445631e-05,0.418138506775146,0.176,0.373,0.773512094936553
"AUH",7.72042338554749e-05,0.696882543978543,0.035,0.123,0.795126404477536
"GCC2",7.74976242272267e-05,0.47399680751279,0.214,0.442,0.798148031916208
"BRAP",8.04520273346699e-05,0.444278498938114,0.023,0.1,0.828575429519766
"FPGS",8.55314348631036e-05,0.914423536309063,0.049,0.15,0.880888247655104
"CLASP2",8.55734154821476e-05,-1.25328592019056,0.026,0.104,0.881320606050638
"HEXDC",8.61974626844528e-05,1.04124972355123,0.049,0.15,0.88774766818718
"COMMD5",8.69951318935593e-05,0.995745519639876,0.107,0.254,0.895962863371767
"CD58",8.82192545805121e-05,1.02332757644518,0.09,0.223,0.908570102924694
"FAM53C",8.85182931072936e-05,0.398477584852664,0.069,0.185,0.911649900712017
"CGGBP1",8.85352128514018e-05,0.59295418339038,0.136,0.304,0.911824157156587
"CDK13",8.91423296423148e-05,0.364183540268538,0.078,0.2,0.9180768529862
"EAF1",9.02393262894985e-05,0.534466290758455,0.043,0.138,0.929374821455545
"FAM76A",9.47211777115723e-05,-0.372726024626583,0.032,0.115,0.975533409251483
"ASMTL",9.50927547729519e-05,0.767036940464805,0.043,0.138,0.979360281406632
"BCL7B",9.80648961984092e-05,0.501322861417328,0.173,0.369,1
"COX19",0.000100206102549961,0.340298794081617,0.127,0.285,1
"FAM122B",0.000101381058861924,0.829897896269457,0.052,0.154,1
"FAM179B",0.000101698750540252,0.370469321151357,0.032,0.115,1
"GALM",0.000103439367545559,0.772890760812179,0.104,0.246,1
"C12orf29",0.00010532181172365,0.654172401718816,0.046,0.142,1
"CGRRF1",0.000107332890694295,0.459151085629314,0.072,0.188,1
"COQ2",0.000110836638679104,0.764573284330495,0.046,0.142,1
"CCDC174",0.000115221039058606,0.571606276611087,0.072,0.188,1
"HLA-DPA1",0.000135585282823876,0.929290292853194,0.529,0.492,1
"FAM195B",0.000137563872002235,0.642763427358655,0.182,0.385,1
"HMGN1",0.000139467612912199,-0.261292283632933,0.517,0.785,1
"CCDC69",0.000139546156009312,2.97870746514789,0.188,0.092,1
"AARSD1",0.000139570054855348,-0.307283597605841,0.038,0.123,1
"ACSF3",0.000141918902823716,0.371665278011301,0.029,0.108,1
"DHRS1",0.000144510649079843,0.341991195959296,0.052,0.15,1
"COMMD7",0.000146449924229744,0.347720760515836,0.171,0.358,1
"CASP2",0.000146866737187657,0.307340469618341,0.043,0.135,1
"CHMP7",0.000148034482791305,0.509915585623555,0.043,0.135,1
"ATF7IP",0.000149318994094027,0.567012483979577,0.078,0.196,1
"EIF4G3",0.000149411390848596,0.535617030211421,0.061,0.165,1
"GSDMD",0.000156287248932012,0.510312211314121,0.168,0.358,1
"BBX",0.000156841046380862,0.44940033831084,0.199,0.412,1
"ARRB2",0.000158847702549384,3.06623153631703,0.228,0.135,1
"CCL3L3",0.000160136054715753,4.03772328220468,0.234,0.142,1
"DGCR6L",0.000160963621231987,0.385099581839218,0.22,0.446,1
"C1orf131",0.000161588976477489,0.824927552194474,0.052,0.15,1
"BDP1",0.000165933379999225,0.439687302166223,0.13,0.285,1
"DBNL",0.000166143169499089,0.378097554636993,0.182,0.377,1
"ATP9B",0.000170896816113644,-0.624546661147618,0.026,0.1,1
"ENTPD4",0.000171004826832194,0.438128324384203,0.038,0.123,1
"ETFDH",0.00017437187181801,0.458650927619356,0.046,0.138,1
"DSCR3",0.000176312135030665,1.07676333420642,0.061,0.165,1
"C16orf62",0.000179070882937523,0.277654878238873,0.032,0.112,1
"BLOC1S2",0.000181296662763723,0.426410334518529,0.162,0.342,1
"DLAT",0.000184470549025305,-0.506480130923802,0.035,0.115,1
"GFOD2",0.000190050602545646,0.342232020916992,0.026,0.1,1
"BRD9",0.000193175557251246,0.612964148604118,0.101,0.235,1
"ATP6V0A2",0.000194473262067496,0.684032993080141,0.026,0.1,1
"FEM1A",0.00019988102646379,0.343401059938095,0.04,0.127,1
"FRMD8",0.000204170476937306,0.335496994942715,0.049,0.142,1
