group,names,scores,logfoldchanges,pvals,pvals_adj
0,ZNF295-AS1,-0.18313305,1.4741844,0.8546936269484372,0.943359468642308
0,SELP,-0.18579473,1.5676872,0.8526057418061641,0.9421057920510101
0,FAM131B,-0.1860524,1.4269677,0.8524036682499403,0.9421057920510101
0,RP11-402P6.11,-0.1862429,1.3590888,0.8522542905873571,0.9421057920510101
0,LRRC15,-0.1862429,1.0542818,0.8522542905873571,0.9421057920510101
0,CCL11,-0.18936898,1.2618153,0.8498036366984432,0.9410892986693723
0,CYP11A1,-0.18944798,1.5194651,0.8497417234191217,0.9410892986693723
0,MAGEA10,-0.18944798,0.9948727,0.8497417234191217,0.9410892986693723
0,LECT1,-0.18944798,0.92333865,0.8497417234191217,0.9410892986693723
0,RP11-338I21.1,-0.19178405,1.0610683,0.847911362383047,0.94107809365488
0,CALML5,-0.19246258,1.0980521,0.8473798778714069,0.9410104140715235
0,PEX5L,-0.19557242,1.1537399,0.8449448469671513,0.9388276077412793
0,C1QL1,-0.19566767,1.3966196,0.8448702930607229,0.9388276077412793
0,SELE,-0.19576292,1.2604287,0.8447957405436884,0.9388276077412793
0,MIR219A2,-0.19576292,1.3928173,0.8447957405436884,0.9388276077412793
0,IGLV1-47,-0.19857152,0.9804442,0.8425979358174099,0.9383050510216147
0,RP1-27K12.2,-0.19887276,1.1907606,0.8423622815967462,0.9383050510216147
0,SLC5A11,-0.2019826,1.1263605,0.8399303271882419,0.936377176352555
0,CDC20B,-0.20511903,1.2657186,0.8374791336571226,0.9341652355349945
0,GABRP,-0.2051877,1.215801,0.8374254880717417,0.9341652355349945
0,CNTNAP4,-0.20829754,1.110834,0.8349966582367334,0.9324362459371675
0,CLDN14,-0.20839278,2.237088,0.8349222957064916,0.9324362459371675
0,IGLV2-11,-0.21110761,0.81988484,0.8328032984737765,0.93102660533681
0,IGKV3-15,-0.21138227,1.1656222,0.8325889881072891,0.93102660533681
0,GAP43,-0.2146036,1.0658178,0.8300763829598284,0.9290166569220241
0,FDCSP,-0.21749638,1.1511672,0.8278215276102034,0.9270117890371818
0,ESM1,-0.22055602,1.069911,0.8254381502692566,0.9248606725705957
0,IGHV4-39,-0.22062026,1.7089216,0.8253881303059079,0.9248606725705957
0,CLCA2,-0.22414356,1.5126901,0.8226455977245772,0.9227656732749044
0,LINC00551,-0.22414504,1.3483181,0.8226444487492977,0.9227656732749044
0,SPX,-0.22708285,1.7884486,0.820359318553722,0.9212344958492106
0,TBX10,-0.22733757,1.42461,0.8201612574057895,0.9212344958492106
0,CYP1A1,-0.23035218,1.3178884,0.8178181211737161,0.9194132896837731
0,BRINP3,-0.23044741,1.3631568,0.817744117553948,0.9194132896837731
0,DHRS2,-0.23355727,1.6342776,0.8153287093368029,0.917646268246261
0,TNR,-0.23676234,1.8643293,0.8128411603042739,0.9153616670093174
0,FAM9C,-0.23984192,1.3484703,0.8104528046342369,0.9131862587428021
0,LINC00973,-0.24609189,1.3370697,0.8056111057764128,0.9082425093307923
0,ALB,-0.24620928,1.2411606,0.8055202336981316,0.9082425093307923
0,DPYSL5,-0.24621665,1.4053442,0.8055145185608589,0.9082425093307923
0,ANKRD1,-0.24628237,1.4526303,0.805463654296874,0.9082425093307923
0,ALPP,-0.24628237,2.2991185,0.805463654296874,0.9082425093307923
0,CLLU1OS,-0.24628237,1.5851173,0.805463654296874,0.9082425093307923
0,CBLN4,-0.24628237,1.4711975,0.805463654296874,0.9082425093307923
0,NNAT,-0.24628237,2.038869,0.805463654296874,0.9082425093307923
0,PMP2,-0.24940698,1.2813901,0.8030459838350865,0.9082425093307923
0,IGKV1-39,-0.2550958,1.4833317,0.7986490982920295,0.9054978438685141
0,TNNT3,-0.2551726,0.99209,0.7985897936368928,0.9054978438685141
0,ENTHD1,-0.25570714,1.5679396,0.7981769742185822,0.9054978438685141
0,WFDC6,-0.25570714,1.3407724,0.7981769742185822,0.9054978438685141
0,TNFRSF18,-0.2584434,,0.7960647265523444,0.9046190074458459
